id,name,location,cuisine,avg_cost_for_two,rating,budget_band
sapid-in::bannerghatta-road,Sapid.in,bannerghatta road,north indian,350.0,,low
hotel-muthu::bannerghatta-road,Hotel Muthu,bannerghatta road,south indian,200.0,,low
orlando-s-pizzeria::bannerghatta-road,Orlando's Pizzeria,bannerghatta road,"pizza, italian, desserts",800.0,,low
healthy-smoothie::bannerghatta-road,Healthy Smoothie,bannerghatta road,"american, bakery, beverages, cafe, healthy food, juices, north indian, sandwich",300.0,,low
hotel-shyam-mangalam-catering-service::bannerghatta-road,Hotel Shyam Mangalam & Catering Service,bannerghatta road,"south indian, north indian, oriya",400.0,,low
sheer-kurma::bannerghatta-road,Sheer Kurma,bannerghatta road,desserts,300.0,,low
thalassery-food-court::bannerghatta-road,Thalassery Food Court,bannerghatta road,"chinese, kerala",500.0,,low
house-of-candy::bannerghatta-road,House Of Candy,bannerghatta road,desserts,200.0,,low
oye-bubly::bannerghatta-road,Oye Bubly,bannerghatta road,fast food,200.0,,low
doddamma-devi-juice-chats-centre::bannerghatta-road,Doddamma Devi Juice & Chats Centre,bannerghatta road,"chinese, street food, juices",200.0,,low
kabab-corner::bannerghatta-road,Kabab Corner,bannerghatta road,"arabian, chinese, kerala",400.0,,low
kamat::bannerghatta-road,Kamat,bannerghatta road,"south indian, fast food",300.0,,low
jugz-cafe::bannerghatta-road,Jugz Cafe,bannerghatta road,south indian,250.0,,low
taste-of-home::bannerghatta-road,Taste Of Home,bannerghatta road,"south indian, north indian, chinese",300.0,,low
the-punjabi-tadka::bannerghatta-road,The Punjabi Tadka,bannerghatta road,north indian,200.0,,low
dastarkhan::bannerghatta-road,Dastarkhan,bannerghatta road,mughlai,400.0,,low
sri-banashankari-biryani-kabab-centre::bannerghatta-road,Sri Banashankari Biryani Kabab Centre,bannerghatta road,"biryani, fast food",100.0,,low
the-sandesh-factory::bannerghatta-road,The Sandesh Factory,bannerghatta road,"mithai, desserts",150.0,,low
adi-s-cake-n-cafe::bannerghatta-road,Adi's Cake N Cafe,bannerghatta road,bakery,400.0,,low
d-fusion::bannerghatta-road,D Fusion,bannerghatta road,"fast food, chinese",400.0,,low
the-right-moo-organic-icecreams::bannerghatta-road,The Right Moo Organic Icecreams,bannerghatta road,desserts,300.0,,low
swad-family-restaurant::bannerghatta-road,Swad Family Restaurant,bannerghatta road,"north indian, chinese",650.0,,low
bread-better::bannerghatta-road,Bread & Better,bannerghatta road,"bakery, fast food",50.0,,low
papa-khan-biryani::bannerghatta-road,Papa Khan Biryani,bannerghatta road,"biryani, mughlai",300.0,,low
vah-biryani::bannerghatta-road,Vah Biryani,bannerghatta road,"biryani, chinese",300.0,,low
9-tea::bannerghatta-road,9 Tea,bannerghatta road,"south indian, street food, tea",200.0,,low
gobble-up::bannerghatta-road,Gobble Up,bannerghatta road,"chinese, street food",200.0,,low
sri-annalakshmi::bannerghatta-road,Sri Annalakshmi,bannerghatta road,"south indian, north indian",200.0,,low
magadh-jalpan::bannerghatta-road,Magadh Jalpan,bannerghatta road,street food,200.0,,low
