id,name,location,cuisine,avg_cost_for_two,rating,budget_band
paradise-premium::banashankari,Paradise Premium,banashankari,"biryani, andhra, hyderabadi, north indian",700.0,3.1,low
grazers::jayanagar,Grazers,jayanagar,"cafe, burger, continental, italian, desserts",650.0,3.9,low
shakes-theory::jayanagar,Shakes Theory,jayanagar,"beverages, sandwich",300.0,4.5,low
italy::kumaraswamy-layout,@Italy,kumaraswamy layout,italian,700.0,4.1,low
chilli-flakes::banashankari,Chilli Flakes,banashankari,"fast food, italian, beverages",500.0,3.6,low
calcutta-cafe::kumaraswamy-layout,Calcutta Cafe,kumaraswamy layout,"bengali, chinese, sandwich",350.0,3.5,low
old-mumbai-ice-cream::banashankari,Old Mumbai Ice Cream,banashankari,ice cream,150.0,3.9,low
donne-biriyani-house::banashankari,Donne Biriyani House,banashankari,"south indian, north indian, chinese, biryani",400.0,3.9,low
by-2-coffee::basavanagudi,By 2 Coffee,basavanagudi,south indian,100.0,3.9,low
kedia-s-fun-food::jayanagar,Kedia's Fun Food,jayanagar,"north indian, street food, juices",200.0,4.3,low
davangere-butter-dosa-hotel::kumaraswamy-layout,Davangere Butter Dosa Hotel,kumaraswamy layout,south indian,150.0,3.8,low
just-shawarma::kumaraswamy-layout,Just Shawarma,kumaraswamy layout,arabian,300.0,3.9,low
mini-punjabi-dhaba::banashankari,Mini Punjabi Dhaba,banashankari,north indian,350.0,4.2,low
mulabagilu-dosa::basavanagudi,Mulabagilu Dosa,basavanagudi,south indian,100.0,3.6,low
gokul-veg::basavanagudi,Gokul Veg,basavanagudi,"north indian, chinese, beverages",750.0,3.8,low
olive---era::kumaraswamy-layout,Olive - Era,kumaraswamy layout,"bbq, arabian, rolls, chinese, north indian, juices, kebab, desserts",550.0,3.3,low
udupi-ruchi::banashankari,Udupi Ruchi,banashankari,"south indian, north indian, chinese, street food",200.0,3.9,low
madhappa-hindu-military-hotel::banashankari,Madhappa Hindu Military Hotel,banashankari,south indian,300.0,3.4,low
gama-gama::banashankari,Gama Gama,banashankari,south indian,200.0,3.9,low
pizza-hut::banashankari,Pizza Hut,banashankari,"pizza, fast food",750.0,3.8,low
mangalore-pearl::jayanagar,Mangalore Pearl,jayanagar,"mangalorean, seafood, chinese, biryani",650.0,3.8,low
asha-sweets-centre::basavanagudi,Asha Sweets Centre,basavanagudi,fast food,250.0,3.6,low
twiststick-house::basavanagudi,Twiststick House,basavanagudi,"continental, fast food, street food, momos",500.0,4.1,low
cool-corner::basavanagudi,Cool Corner,basavanagudi,"street food, fast food",250.0,4.2,low
pizza-mane::banashankari,Pizza Mane,banashankari,"pizza, sandwich, burger, fast food",150.0,3.5,low
dal-tadkaa::banashankari,Dal Tadkaa,banashankari,north indian,500.0,2.5,low
chutney-chang::jayanagar,Chutney Chang,jayanagar,"north indian, chinese, bbq",1500.0,4.1,medium
mystique-palate::jayanagar,Mystique Palate,jayanagar,"chinese, fast food",300.0,4.1,low
thamboola::banashankari,Thamboola,banashankari,"north indian, chinese, continental",800.0,3.9,low
castle-rock::uttarahalli,Castle Rock,uttarahalli,"north indian, chinese",700.0,3.6,low
vietnamese-kitchen::banashankari,Vietnamese Kitchen,banashankari,vietnamese,700.0,3.6,low
c-corner::kumaraswamy-layout,C Corner,kumaraswamy layout,"fast food, street food",200.0,3.2,low
paratha-merchant::kumaraswamy-layout,Paratha Merchant,kumaraswamy layout,north indian,300.0,3.1,low
north-rasoe::kumaraswamy-layout,North Rasoe,kumaraswamy layout,"north indian, chinese, biryani, kebab",500.0,3.1,low
toscano::jayanagar,Toscano,jayanagar,"italian, salad",1300.0,4.3,medium
lord-of-the-kitchen::kumaraswamy-layout,Lord Of The Kitchen,kumaraswamy layout,"north indian, chinese",350.0,3.9,low
stoned-monkey::banashankari,Stoned Monkey,banashankari,"desserts, ice cream",500.0,4.3,low
central-jail-restaurant::jayanagar,Central Jail Restaurant,jayanagar,"andhra, seafood, north indian, chinese",700.0,3.8,low
bella::jayanagar,Bella,jayanagar,"mangalorean, seafood, south indian",1000.0,3.9,medium
vennela-andhra-meals::jayanagar,Vennela Andhra Meals,jayanagar,andhra,400.0,3.0,low
new-prashanth-hotel::jayanagar,New Prashanth Hotel,jayanagar,"south indian, biryani, chinese, north indian",750.0,3.6,low
the-grillo::jayanagar,The Grillo,jayanagar,"south indian, arabian, chinese, north indian, seafood, mangalorean",500.0,2.8,low
re-malnad-nati-style-hotel::jp-nagar,Re Malnad Nati Style Hotel,jp nagar,south indian,400.0,3.6,low
karma-kaapi::jayanagar,Karma Kaapi,jayanagar,"beverages, tea",250.0,4.4,low
tiwari-s::jayanagar,Tiwari's,jayanagar,"north indian, street food",200.0,3.8,low
pizza-stop::basavanagudi,Pizza Stop,basavanagudi,"pizza, italian",600.0,3.8,low
biggies-burger-n-more::kumaraswamy-layout,Biggies Burger 'n' More,kumaraswamy layout,"cafe, burger, beverages",650.0,3.6,low
kollapuri-s::basavanagudi,Kollapuri's,basavanagudi,"south indian, mangalorean",450.0,3.9,low
kadamba-classic::mysore-road,Kadamba Classic,mysore road,south indian,300.0,3.6,low
rs-shiv-sagar::basavanagudi,RS Shiv Sagar,basavanagudi,"north indian, chinese, south indian, fast food, juices",450.0,3.7,low
kholi-mane::basavanagudi,Kholi Mane,basavanagudi,"andhra, south indian, biryani, north indian",450.0,3.6,low
harshi-super-sandwich::basavanagudi,Harshi Super Sandwich,basavanagudi,"fast food, street food",150.0,3.8,low
cake-yard::basavanagudi,Cake Yard,basavanagudi,desserts,250.0,3.4,low
sri-udupi-veg::jayanagar,Sri Udupi Veg,jayanagar,south indian,250.0,3.3,low
cake-art::basavanagudi,Cake Art,basavanagudi,bakery,400.0,3.5,low
potato-house::uttarahalli,Potato House,uttarahalli,street food,200.0,3.4,low
matru-sagar::mysore-road,Matru Sagar,mysore road,"south indian, north indian",300.0,3.7,low
ugadi::jayanagar,Ugadi,jayanagar,"north indian, chinese, biryani, andhra, mangalorean",700.0,2.9,low
sri-krishna-sweets::basavanagudi,Sri Krishna Sweets,basavanagudi,"mithai, desserts",250.0,3.7,low
in-time-cane-juice::kumaraswamy-layout,In Time Cane Juice,kumaraswamy layout,"juices, beverages",100.0,3.5,low
subway::banashankari,Subway,banashankari,"salad, fast food",600.0,3.7,low
daal-roti::kumaraswamy-layout,Daal Roti,kumaraswamy layout,"north indian, chinese",250.0,2.9,low
the-lassi-park::jayanagar,The Lassi Park,jayanagar,"juices, desserts",200.0,4.1,low
cafe-coffee-day::jayanagar,Cafe Coffee Day,jayanagar,"cafe, fast food",900.0,3.2,medium
a2b---adyar-ananda-bhavan::mysore-road,A2B - Adyar Ananda Bhavan,mysore road,"south indian, north indian, chinese, street food",400.0,3.8,low
srikrishna-bhavan::banashankari,Srikrishna Bhavan,banashankari,"south indian, north indian, chinese",300.0,3.8,low
green-gardenia::banashankari,Green Gardenia,banashankari,"north indian, chinese",700.0,3.8,low
j-spice::banashankari,J Spice,banashankari,"north indian, chinese",750.0,3.8,low
karavali-family-restaurant::jayanagar,Karavali Family Restaurant,jayanagar,"seafood, biryani, south indian, north indian, chinese",500.0,3.5,low
karavali-lunch-home::kumaraswamy-layout,Karavali Lunch Home,kumaraswamy layout,"south indian, mangalorean",350.0,3.7,low
hatti-kaapi::jayanagar,Hatti Kaapi,jayanagar,"south indian, beverages",200.0,4.0,low
kolkata-kathi-roll-s::banashankari,Kolkata Kathi Roll's,banashankari,"fast food, rolls",250.0,3.6,low
upahara-darshini::basavanagudi,Upahara Darshini,basavanagudi,"north indian, chinese, south indian, fast food",600.0,3.9,low
the-chaat-shop::basavanagudi,The Chaat Shop,basavanagudi,fast food,200.0,2.5,low
anda-ka-funda::jayanagar,Anda Ka Funda,jayanagar,"north indian, chinese, rolls",250.0,3.4,low
shri-vinayaka-ice-n-juice::basavanagudi,Shri Vinayaka Ice N Juice,basavanagudi,"beverages, fast food",150.0,3.2,low
ibaco::jayanagar,Ibaco,jayanagar,desserts,300.0,3.9,low
jalaram-sweets::jayanagar,Jalaram Sweets,jayanagar,"desserts, mithai",250.0,3.8,low
samskruti---sanman-gardenia::jayanagar,Samskruti - Sanman Gardenia,jayanagar,"north indian, chinese, south indian",550.0,4.1,low
bendakaluru-bytes::vijay-nagar,Bendakaluru Bytes,vijay nagar,fast food,300.0,3.2,low
